,,Senate,House,Total
Days in session ....................................,,136,135,. .
Time in session ...................................,,"908 hrs., 15′","704 hrs., 31′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"S6,941","H10,336",. .
Extensions of Remarks ................,,. .,"E1,857",. .
Public bills enacted into law ...............,,61,163,224
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,1,1,. .
"Measures passed, total .........................",,501,565,"1,066"
Senate bills ..................................,,95,57,. .
House bills ..................................,,153,375,. .
Senate joint resolutions ...............,,6,4,. .
House joint resolutions ...............,,8,7,. .
Senate concurrent resolutions ......,,6,4,. .
House concurrent resolutions ......,,23,25,. .
Simple resolutions .......................,,210,93,. .
"Measures reported, total ......................",,275,377,652
Senate bills ..................................,,190,7,. .
House bills ..................................,,51,306,. .
Senate joint resolutions ...............,,3,. .,. .
House joint resolutions ...............,,. .,2,. .
Senate concurrent resolutions ......,,1,. .,. .
House concurrent resolutions ......,,1,4,. .
Simple resolutions .......................,,29,58,. .
Special reports .....................................,,12,34,. .
Conference reports ...............................,,3,3,. .
Measures pending on calendar .............,,414,127,. .
"Measures introduced, total ..................",,"1,432","2,505","3,937"
Bills .............................................,,"1,126","2,089",. .
Joint resolutions ..........................,,18,27,. .
Concurrent resolutions ................,,14,53,. .
Simple resolutions .......................,,274,336,. .
Quorum calls .......................................,,1,1,. .
Yea-and-nay votes ...............................,,366,** 248,. .
Recorded votes ....................................,,. .,315,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
